treatment,origin,day,bleach,bleachln
intsub,int,1,109.6432194,4.697231635
intsub,int,2,115.8076232,4.751930394
intsub,int,3,119.1405844,4.780304177
intsub,int,4,123.7253102,4.818063868
intsub,int,5,142.3777069,4.958483434
intsub,int,1,82.98594924,4.418671307
intsub,int,2,60.36512464,4.100411532
intsub,int,3,73.42614294,4.296280043
intsub,int,4,81.05422373,4.395118359
intsub,int,5,83.6555766,4.426708091
intsub,int,1,150.1531724,5.011655923
intsub,int,2,167.6778657,5.122044673
intsub,int,3,168.3318848,5.125937535
intsub,int,4,156.7896334,5.054904992
intsub,int,5,199.7272417,5.296952644
intsub,int,1,79.37172717,4.374142224
intsub,int,2,100.1031917,4.606201571
intsub,int,3,NA,NA
intsub,int,4,153.0744899,5.030924665
intsub,int,5,119.6837694,4.784853009
intsub,int,1,136.0812772,4.913252334
intsub,int,2,187.3416595,5.232934006
intsub,int,3,NA,NA
intsub,int,4,139.8666502,4.94068947
intsub,int,5,133.6174242,4.894980673
intsub,int,1,71.76144865,4.273347405
intsub,int,2,70.72175409,4.258753221
intsub,int,3,NA,NA
intsub,int,4,88.16794913,4.479243508
intsub,int,5,117.8409284,4.769335651
intint,int,1,62.23825978,4.13096992
intint,int,2,51.0387949,3.932586028
intint,int,3,79.48813617,4.37560778
intint,int,4,96.41997543,4.568713394
intint,int,5,86.36133587,4.458540074
intint,int,1,61.59181343,4.120528963
intint,int,2,63.69920701,4.154172114
intint,int,3,80.36167563,4.386537391
intint,int,4,115.0368453,4.745252471
intint,int,5,100.5593939,4.610748537
intint,int,1,87.47286368,4.471328616
intint,int,2,92.66530404,4.52899412
intint,int,3,113.7148072,4.733693622
intint,int,4,103.7739342,4.642214823
intint,int,5,87.76626775,4.474677233
intint,int,1,68.57972577,4.227996948
intint,int,2,70.48068224,4.255338662
intint,int,3,78.07511103,4.357671325
intint,int,4,93.3355278,4.536200826
intint,int,5,89.38084046,4.492906347
intint,int,1,73.38809119,4.295761677
intint,int,2,63.14614057,4.145451732
intint,int,3,75.4641765,4.32365806
intint,int,4,79.35227386,4.373897103
intint,int,5,71.43359683,4.268768302
intint,int,1,51.02816876,3.932377809
intint,int,2,38.55986504,3.65221197
intint,int,3,48.12456732,3.873792802
intint,int,4,49.37633186,3.899471197
intint,int,5,58.85481177,4.075073594
subsub,sub,1,59.67865053,4.088974344
subsub,sub,2,61.90078057,4.12553279
subsub,sub,3,79.02592365,4.369775946
subsub,sub,4,72.13915576,4.278596973
subsub,sub,5,81.29629608,4.398100457
subsub,sub,1,52.6480725,3.963629628
subsub,sub,2,56.6559692,4.036997352
subsub,sub,3,59.39982014,4.084291198
subsub,sub,4,59.39982014,4.084291198
subsub,sub,5,66.16385843,4.192134369
subsub,sub,1,77.07244839,4.344745868
subsub,sub,2,77.38943414,4.348850261
subsub,sub,3,95.44750048,4.558576363
subsub,sub,4,95.44750048,4.558576363
subsub,sub,5,99.61193587,4.601281995
subsub,sub,1,82.1924025,4.409062871
subsub,sub,2,117.7282412,4.768378928
subsub,sub,3,NA,NA
subsub,sub,4,108.9991963,4.691340509
subsub,sub,5,100.3420365,4.608584715
subsub,sub,1,72.7478177,4.286998908
subsub,sub,2,61.80229867,4.123940559
subsub,sub,3,NA,NA
subsub,sub,4,49.88243232,3.909668883
subsub,sub,5,52.59029221,3.962531544
subsub,sub,1,69.34313166,4.239067103
subsub,sub,2,68.32095292,4.224216497
subsub,sub,3,NA,NA
subsub,sub,4,70.2906097,4.252638215
subsub,sub,5,87.15100956,4.467642356
subint,sub,1,53.40385289,3.977882895
subint,sub,2,61.08057718,4.11219393
subint,sub,3,58.03184457,4.060991904
subint,sub,4,74.65362057,4.312859023
subint,sub,5,71.21738698,4.265736988
subint,sub,1,58.30550447,4.065696505
subint,sub,2,63.112778,4.144923253
subint,sub,3,73.38989197,4.295786215
subint,sub,4,69.67574339,4.243852243
subint,sub,5,74.99956691,4.317482339
subint,sub,1,69.23745186,4.237541928
subint,sub,2,65.95339717,4.188948389
subint,sub,3,83.97591704,4.430530056
subint,sub,4,91.28409512,4.513976568
subint,sub,5,82.40488387,4.411644705
subint,sub,1,51.05204074,3.932845519
subint,sub,2,54.02317151,3.989413057
subint,sub,3,65.02701047,4.174802729
subint,sub,4,53.2979745,3.975898329
subint,sub,5,63.07714009,4.144358423
subint,sub,1,48.23832555,3.876153841
subint,sub,2,58.41210054,4.067523069
subint,sub,3,52.17205708,3.954547047
subint,sub,4,56.77087724,4.03902347
subint,sub,5,72.16990722,4.279023161
subint,sub,1,46.87531179,3.847491136
subint,sub,2,57.15065741,4.045690893
subint,sub,3,60.72401178,4.106339201
subint,sub,4,64.66919507,4.169284969
subint,sub,5,73.1412437,4.292392417
