tree,coral,origin,culture,treatment,SGRavg
3,1,int,sub,intsub,0.006668312
21,1,int,sub,intsub,0.012590848
22,1,int,sub,intsub,0.008327948
24,1,int,sub,intsub,0.011157205
39,1,int,int,intint,0.013048971
47,1,int,int,intint,0.014070451
49,1,int,int,intint,0.01640933
52,1,int,int,intint,0.01554929
54,1,int,int,intint,0.014509103
55,1,int,int,intint,0.014719485
58,1,int,int,intint,0.016160351
59,1,int,int,intint,0.016942475
60,1,int,int,intint,0.014615452
2,1,sub,sub,subsub,0.006741103
18,1,sub,sub,subsub,0.011871739
20,1,sub,sub,subsub,0.010691072
23,1,sub,sub,subsub,0.012844234
37,1,sub,int,subint,0.007058438
43,1,sub,int,subint,0.012013836
44,1,sub,int,subint,0.011712177
45,1,sub,int,subint,0.018442459
50,1,sub,int,subint,0.018938129
51,1,sub,int,subint,0.018038222
53,1,sub,int,subint,0.011859035
56,1,sub,int,subint,0.011480199
57,1,sub,int,subint,0.012518203
